#---------- Tue Nov 29 16:15:24 PST 2022 ----------
#Format: Task Counter Number,Did Simulation Succeed,Last Step Size Used,Number of Simulations Attempted
4153,false,0.01,1
4154,false,0.01,1
4155,false,0.01,1
4156,false,0.01,1
4157,false,0.01,1
4158,false,0.01,1
4159,false,0.01,1
4160,false,0.01,1
4161,false,0.01,1
4162,false,0.01,1
4163,false,0.01,1
4164,false,0.01,1
4165,false,0.01,1
4166,false,0.01,1
4167,false,0.01,1
4168,false,0.01,1
4169,false,0.01,1
4170,false,0.01,1
4171,false,0.01,1
4172,false,0.01,1
4173,false,0.01,1
4174,false,0.01,1
4175,false,0.01,1
4176,false,0.01,1
4177,false,0.01,1
4178,false,0.01,1
4179,false,0.01,1
4180,false,0.01,1
4181,false,0.01,1
4182,false,0.01,1
4183,false,0.01,1
4184,false,0.01,1
4185,true,0.01,1
4186,false,0.01,1
4187,false,0.01,1
4188,false,0.01,1
4189,false,0.01,1
4190,false,0.01,1
4191,false,0.01,1
4192,false,0.01,1
4193,false,0.01,1
4194,true,0.01,1
4195,false,0.01,1
4196,false,0.01,1
4197,false,0.01,1
4198,false,0.01,1
4199,false,0.01,1
4200,false,0.01,1
4201,false,0.01,1
4202,false,0.01,1
4203,false,0.01,1
4204,false,0.01,1
4205,false,0.01,1
4206,false,0.01,1
4207,false,0.01,1
4208,false,0.01,1
4209,false,0.01,1
4210,false,0.01,1
4211,false,0.01,1
4212,false,0.01,1
4213,false,0.01,1
4214,false,0.01,1
4215,false,0.01,1
4216,false,0.01,1
4217,false,0.01,1
4218,false,0.01,1
4219,false,0.01,1
4220,false,0.01,1
4221,false,0.01,1
4222,false,0.01,1
4223,false,0.01,1
4224,false,0.01,1
4225,false,0.01,1
4226,false,0.01,1
4227,false,0.01,1
4228,false,0.01,1
4229,false,0.01,1
4230,false,0.01,1
4231,false,0.01,1
4232,false,0.01,1
4233,false,0.01,1
4234,false,0.01,1
4235,false,0.01,1
4236,false,0.01,1
4237,false,0.01,1
4238,false,0.01,1
4239,false,0.01,1
4240,false,0.01,1
4241,false,0.01,1
4242,false,0.01,1
4243,false,0.01,1
4244,false,0.01,1
4245,false,0.01,1
4246,false,0.01,1
4247,false,0.01,1
4248,true,0.01,1
4249,false,0.01,1
4250,false,0.01,1
4251,false,0.01,1
4252,false,0.01,1
4253,false,0.01,1
4254,false,0.01,1
4255,false,0.01,1
4256,false,0.01,1
4257,true,0.01,1
4258,false,0.01,1
4259,false,0.01,1
4260,false,0.01,1
4261,false,0.01,1
4262,false,0.01,1
4263,false,0.01,1
4264,false,0.01,1
4265,false,0.01,1
4266,false,0.01,1
4267,false,0.01,1
4268,false,0.01,1
4269,false,0.01,1
4270,false,0.01,1
4271,false,0.01,1
4272,false,0.01,1
4273,false,0.01,1
4274,false,0.01,1
4275,false,0.01,1
4276,false,0.01,1
4277,false,0.01,1
4278,false,0.01,1
4279,false,0.01,1
4280,false,0.01,1
4281,false,0.01,1
4282,false,0.01,1
4283,false,0.01,1
4284,false,0.01,1
4285,false,0.01,1
4286,false,0.01,1
4287,false,0.01,1
4288,false,0.01,1
4289,false,0.01,1
4290,false,0.01,1
4291,false,0.01,1
4292,false,0.01,1
4293,true,0.01,1
4294,false,0.01,1
4295,false,0.01,1
4296,false,0.01,1
4297,false,0.01,1
4298,false,0.01,1
4299,false,0.01,1
4300,false,0.01,1
4301,false,0.01,1
4302,true,0.01,1
4303,false,0.01,1
4304,false,0.01,1
4305,false,0.01,1
4306,false,0.01,1
4307,false,0.01,1
4308,false,0.01,1
4309,false,0.01,1
4310,false,0.01,1
4311,true,0.01,1
4312,false,0.01,1
4313,false,0.01,1
4314,false,0.01,1
4315,false,0.01,1
4316,false,0.01,1
4317,false,0.01,1
4318,false,0.01,1
4319,false,0.01,1
4320,true,0.01,1
4321,false,0.01,1
4322,false,0.01,1
4323,false,0.01,1
4324,false,0.01,1
4325,false,0.01,1
4326,false,0.01,1
4327,false,0.01,1
4328,false,0.01,1
4329,true,0.01,1
4330,false,0.01,1
4331,false,0.01,1
4332,false,0.01,1
4333,false,0.01,1
4334,false,0.01,1
4335,false,0.01,1
4336,false,0.01,1
4337,false,0.01,1
4338,true,0.01,1
4339,false,0.01,1
4340,false,0.01,1
4341,false,0.01,1
4342,false,0.01,1
4343,false,0.01,1
4344,false,0.01,1
4345,false,0.01,1
4346,false,0.01,1
4347,true,0.01,1
4348,false,0.01,1
4349,false,0.01,1
4350,false,0.01,1
4351,false,0.01,1
4352,false,0.01,1
4353,false,0.01,1
4354,false,0.01,1
4355,false,0.01,1
4356,true,0.01,1
4357,false,0.01,1
4358,false,0.01,1
4359,false,0.01,1
4360,false,0.01,1
4361,false,0.01,1
4362,false,0.01,1
4363,false,0.01,1
4364,false,0.01,1
4365,true,0.01,1
4366,true,0.01,1
4367,false,0.01,1
4368,false,0.01,1
4369,false,0.01,1
4370,false,0.01,1
4371,false,0.01,1
4372,false,0.01,1
4373,false,0.01,1
4374,true,0.01,1
4375,true,0.01,1
4376,true,0.01,1
4377,true,0.01,1
4378,true,0.01,1
4379,true,0.01,1
4380,true,0.01,1
4381,true,0.01,1
4382,true,0.01,1
4383,true,0.01,1
4384,true,0.01,1
4385,true,0.01,1
4386,true,0.01,1
4387,true,0.01,1
4388,true,0.01,1
4389,true,0.01,1
4390,true,0.01,1
4391,true,0.01,1
4392,true,0.01,1
4393,false,0.01,1
4394,true,0.01,1
4395,true,0.01,1
4396,true,0.01,1
4397,true,0.01,1
4398,true,0.01,1
4399,true,0.01,1
4400,true,0.01,1
4401,true,0.01,1
4402,true,0.01,1
4403,true,0.01,1
4404,true,0.01,1
4405,true,0.01,1
4406,true,0.01,1
4407,true,0.01,1
4408,true,0.01,1
4409,true,0.01,1
4410,true,0.01,1
4411,false,0.01,1
4412,true,0.01,1
4413,true,0.01,1
4414,true,0.01,1
4415,true,0.01,1
4416,true,0.01,1
4417,true,0.01,1
4418,true,0.01,1
4419,true,0.01,1
4420,false,0.01,1
4421,false,0.01,1
4422,true,0.01,1
4423,true,0.01,1
4424,true,0.01,1
4425,true,0.01,1
4426,true,0.01,1
4427,true,0.01,1
4428,false,0.01,1
4429,true,0.01,1
4430,true,0.01,1
4431,true,0.01,1
4432,true,0.01,1
4433,true,0.01,1
4434,true,0.01,1
4435,true,0.01,1
4436,true,0.01,1
4437,false,0.01,1
4438,true,0.01,1
4439,false,0.01,1
4440,true,0.01,1
4441,true,0.01,1
4442,true,0.01,1
4443,true,0.01,1
4444,true,0.01,1
